name,lat,lng
"Barbers On 48th St And 2nd Ave","40.753942","-73.96942749999999"
"Premium Barber shop - Haircut NY, Midtown,Beard Trim","40.74891179999999","-73.976231"
"NYC MENS HAIRCUTS","40.7558611","-73.9672819"
"Xpress Barber Shop","40.7595395","-73.97400259999999"
"NYC Barber Shop Near Me","40.7573625","-73.96778599999999"
"Elegant Barber Shop","40.7628207","-73.9654135"
"Midtown Manhattan Barbers","40.7573625","-73.96778599999999"
"Barber Shop NYC","40.7624474","-73.9867079"
"N Y C Barber Shop","40.7420335","-73.9826084"
"Shantl & Co - Barber Shop","40.7769857","-73.95726619999999"
"HK BEST BARBERS","40.7609719","-73.9883526"
"City Barbers","40.7707303","-73.9584608"
"Premium Barber Shop - Haircut Midtown, Shave, Beard Trim","40.7569255","-73.96668679999999"
"The Barber Room","40.7586507","-73.96303069999999"
"Upper East Side Barber By Raddbarber","40.7625633","-73.9686889"
"Master Barbers NYC Barber shop","40.7623263","-73.9634628"
"Mady’s barber shop","40.7440236","-73.9747192"
"Elite barbers","40.7650114","-73.96633439999999"
"Chelsea Cuts Barber Shop","40.7418784","-73.996464"
"Pall Mall Barbers Midtown, NYC","40.7580024","-73.97940079999999"
"Jack’s Barber Shop","40.6737518","-73.957032"
"BARBER'S PHILOSOPHY","40.6865103","-73.9825108"
"Imperial Barber Shop","40.675494","-73.98129709999999"
"Benny's Barbershop","40.67818690000001","-73.97910929999999"
"George's Barber Shop","40.6873824","-73.97641810000002"
"Reggie Tha Barber Cutz","40.682504","-73.963421"
"Liv's Barbershop","40.6814691","-73.9649893"
"Elegant Barber Shop","40.6719295","-73.9835001"
"Clip Barber & Salon","40.6718054","-73.9772971"
"LS Barbershop","40.6748593","-73.98187810000002"
"Royal Image Barbershop","40.6926616","-73.9841764"
"Neighborhood Cut and Shave","40.68854270000001","-73.9834262"
"George's Barber Shop","40.66794489999999","-73.9869746"
"Clever Barber Brooklyn","40.6877429","-73.98644689999999"
"Ruthie’s Neighborhood Barber Shop","40.6799509","-73.97548949999999"
"Chaplin's Barber Shop","40.686167","-73.97364999999999"
"George's 2 Barber Shop","40.68059179999999","-73.97778459999999"
"Classic Trim Barber","40.690422","-73.9518942"
"Cowlick","40.6707299","-73.98457549999999"
"Clinton Street Barber Shop","40.6933793","-73.9929679"
"Tavo's Barber Shop","40.7035259","-73.930229"
"Thee Brooklyn Barber","40.7198357","-73.9602472"
"Barber Room 306","40.7129309","-73.9439022"
"Equilibrium Barbershop","40.7253557","-73.9457561"
"Papyon Hair Salon & Barber","40.7120152","-73.962683"
"Thee Brooklyn Barber","40.7257466","-73.9513161"
"EandDscissors","40.7083953","-73.9580153"
"CJ's Barber Post","40.7161813","-73.9478426"
"Groomers and Pomade","40.711662","-73.941434"
"HellRazor barbershop","40.707089","-73.947901"
"Nick Got Cuts","40.6928022","-73.94064"
"Hairitage Barber Company","40.7162353","-73.96205329999999"
"Model Barbers","40.7138371","-73.95144549999999"
"Thee Brooklyn Barber","40.7156483","-73.9443122"
"Prestige Barber Shop & Unisex","40.6979","-73.92666600000001"
"Men's Best Haircut","40.7079221","-73.95035489999999"
"Joape#5 Barber Shop & Salon","40.707163","-73.9548319"
"Fellow Barber","40.7197883","-73.95914449999999"
"J & L Barber Shop","40.708628","-73.954509"
"The Corner Barber","40.71914840000001","-73.9566694"
"Astoria Barbers","40.76324109999999","-73.92156489999999"
"NEW IDEAL BARBERSHOP","40.759525","-73.92048609999999"
"Modern Barber Shop","40.7620025","-73.92575909999999"
"Arber's Barber Shop","40.762409","-73.91127399999999"
"King of Queens Barber Shop","40.7570316","-73.9297239"
"Get Kutz Barber Shop","40.7586179","-73.9194761"
"LIC Tonsorial Barber Shop & Shaving Parlor","40.7570534","-73.92084819999999"
"Braze Original Barbershop","40.7512346","-73.93493219999999"
"Enrique's Barber Shop","40.7594711","-73.91956449999999"
"Elegant Barber Shop","40.7461786","-73.91291559999999"
"PTB Barber Shop Inc.","40.7738127","-73.92696980000001"
"Broadway Barbershop","40.7582483","-73.9171394"
"Icons Barbershop","40.75521699999999","-73.927391"
"Andrea's Barber Shop","40.7627536","-73.9273932"
"Rafael's Barber Shop","40.7558166","-73.92784379999999"
"Well Kept Barbershop","40.7660888","-73.9207117"
"Elite barbershop","40.7563526","-73.91370789999999"
"Alex Unisex Barber Shop","40.7462076","-73.9179408"
"Crescent Barbershop","40.7501354","-73.94066979999999"
"Queens Elegant Barber Shop","40.7688692","-73.9251118"
"Barber’s on 25th","40.73974279999999","-73.9806078"
"BEST BARBER","40.72923","-73.9783678"
"G L Barber Shop","40.7235567","-73.98803029999999"
"Hollywood 2002 Barber Shop","40.7386673","-74.00039889999999"
"12 Pell","40.7148791","-73.99774619999999"
"Marcs Barber Shop","40.7320516","-73.9835456"
"B & H Barber Shop | East Village Barber Shop","40.72409","-73.9840255"
"Barber Bart","40.74003380000001","-73.98914859999999"
"Matter of Instinct Barbershop","40.7194532","-73.98931589999999"
"Next Level Barber Shop","40.7209069","-73.99709399999999"
"Bonefade Barbers","40.7263531","-73.9835799"
"Xin Sheng Barber Shop","40.7179554","-73.9922162"
"Park Ave Barbershop","40.7411104","-73.98534119999999"
"Barber's Point","40.724292","-74.0034003"
"King of Cutz Barbershop","40.7383323","-74.0023315"
"Famous Cutz Barbershop","40.729107","-73.986817"
"Craftsman Barbershop","40.7245418","-74.00263939999999"
"Barber Buddy","40.7372886","-73.996132"
"Euro Barber Shop","40.741146","-73.97913199999999"
"Haar & Co. Barbershop","40.7338656","-74.001678"
