name,lat,lng
"Calvary & Allied Cemeteries","40.7574566","-73.9639978"
"Third Cemetery of the Spanish- Portuguese Synagogue","40.7416356","-73.99443409999999"
"Grave Matters","40.7423754","-73.9841967"
"Moore-Jackson Cemetery","40.7560352","-73.90765789999999"
"St. Michael's Cemetery","40.7646761","-73.89850419999999"
"All Souls Chapel and Crematory","40.76552849999999","-73.8959493"
"New York City Marble Cemetery","40.7245782","-73.9890099"
"Acacia Cemetery Business Office","40.7140633","-73.98807619999999"
"Trinity Church Cemetery and Mausoleum","40.7076831","-74.01214660000001"
"Second Cemetery of Congregation Shearith Israel","40.7350733","-73.9978706"
"Third Cemetery of the Spanish- Portuguese Synagogue","40.7416356","-73.99443409999999"
"Grave Matters","40.7423754","-73.9841967"
"Saint Patrick's Old Cathedral Churchyard Cemetery","40.7239054","-73.99506900000002"
"New York Marble Cemetery","40.725612","-73.9909457"
"First Shearith Israel Graveyard, Chatham Square Cemetery","40.7128627","-73.99842509999999"
