"name","lat","lng"
"50 Street Subway Station","40.7623513","-73.9864953"
"49 St Subway Station","40.7604939","-73.9837436"
"72 St","40.7686869","-73.95844289999999"
"Times Sq - 42 St","40.7558611","-73.987061"
"57 Street Subway Station","40.7655439","-73.9803258"
"28 St Station","40.7433092","-73.98442519999999"
"33 Street Station","40.7461729","-73.9820093"
"5 Avenue-53 St Station","40.760257","-73.97547039999999"
"47-50 Sts - Rockefeller Ctr","40.75885","-73.98118610000002"
"34 St - Herald Sq Subway Station","40.7500869","-73.98812699999999"
"42 St-Bryant Park Station","40.7548368","-73.9841215"
"34 St - Hudson Yards","40.7549713","-74.0010084"
"72 Street Station","40.7762249","-73.976191"
"59 St-Lexington Av","40.7628581","-73.9676762"
"51 St","40.757135","-73.97191189999999"
"Times Sq - 42 St","40.7562813","-73.9873942"
"Grand Central - 42 St","40.7524688","-73.9774869"
"59 St - Columbus Circle Station","40.7687804","-73.9821154"
"Times Sq - 42 St","40.7545563","-73.9866737"
"77 Street Station","40.7736346","-73.95982939999999"
"York St","40.7013482","-73.98660009999999"
"Nostrand Av","40.6804056","-73.94957219999999"
"DeKalb Av","40.6897553","-73.9811407"
"Clark St","40.697468","-73.993088"
"7 Avenue Station","40.6773274","-73.9725591"
"Jay St - MetroTech","40.69225429999999","-73.9862942"
"Carroll St Station","40.6793313","-73.9954833"
"Lafayette Avenue","40.6863222","-73.9744759"
"Classon Avenue Station","40.6888172","-73.95985739999999"
"Bergen St Station","40.6854538","-73.9913378"
"High Street - Brooklyn Bridge","40.6993395","-73.9898412"
"Jay St - MetroTech","40.6922507","-73.9872792"
"Hoyt - Schermerhorn Sts","40.6889951","-73.9857646"
"7 Av","40.6668935","-73.9815816"
"Union St","40.6771729","-73.9832467"
"Smith-9th Streets","40.6739071","-73.9965515"
"Hoyt St","40.6905349","-73.9850204"
"Nevins St","40.6882938","-73.9805205"
"Court Street Station","40.6943491","-73.9926155"
"Borough Hall","40.692406","-73.99015"
"Bedford Av","40.7173546","-73.9569726"
"Nassau Avenue Station","40.7238304","-73.9506401"
"Morgan Av","40.70607589999999","-73.93370999999999"
"Marcy Av","40.7085154","-73.95785459999999"
"Metropolitan Av","40.7137509","-73.9517724"
"Flushing Av","40.7003285","-73.94124530000001"
"Kosciuszko Street Station","40.6932868","-73.9288263"
"Jefferson Street","40.7070754","-73.9238689"
"Broadway","40.7055238","-73.9500956"
"Flushing Av","40.6997972","-73.95005809999999"
"Lorimer St","40.7039504","-73.94738199999999"
"Central Avenue Station","40.6978289","-73.9273632"
"Montrose Avenue Station","40.7077716","-73.9398633"
"Lorimer Street","40.71423739999999","-73.94931179999999"
"Myrtle Avenue–Broadway Station","40.6972672","-73.93581709999999"
"Grand Street Station","40.71191","-73.94045539999999"
"Graham Av","40.7145263","-73.94438180000002"
"Hewes St","40.7068229","-73.95342699999999"
"Myrtle - Willoughby Avs","40.69546709999999","-73.94922029999999"
"Bedford Avenue Station","40.7177978","-73.95751709999999"
"36th Avenue","40.7566195","-73.9296478"
"Steinway St","40.7567049","-73.92066459999999"
"Broadway","40.7619643","-73.9255316"
"36 Street Station","40.7520453","-73.9289557"
"46 Street Station","40.7567515","-73.91421179999999"
"30 Av","40.7668562","-73.921323"
"39 Av - Dutch Kills","40.7526897","-73.93280559999999"
"Queens Plaza","40.7488451","-73.93743569999999"
"40 Street - Lowery St","40.7438729","-73.92423409999999"
"Astoria Blvd","40.7704684","-73.9175448"
"33 St - Rawson St","40.7445586","-73.9312333"
"Ditmars Blvd Station","40.7750119","-73.91211"
"Northern Blvd","40.7531164","-73.90711109999999"
"65 Street Station","40.7491462","-73.89746869999999"
"52 St - Lincoln Av Station","40.74429019999999","-73.9121748"
"Queensboro Plaza","40.750584","-73.940201"
"46 St-Bliss St Station","40.7430692","-73.9182376"
"21 St-Queensbridge Sta","40.7541288","-73.9423432"
"Woodside - 61 St","40.7457078","-73.90290399999999"
"69 St-Fisk Av Station","40.74629059999999","-73.8963229"
"Brooklyn Bridge - City Hall Subway Station","40.7128218","-74.00428359999999"
"Spring Street","40.722301","-73.99713899999999"
"Fulton St","40.709373","-74.00832579999999"
"World Trade Center","40.7126452","-74.00989799999999"
"Spring Street Subway Station","40.7257799","-74.00395209999999"
"23 St","40.7400595","-73.9864645"
"Prince St Station","40.7242323","-73.997806"
"Bleecker St","40.725914","-73.994659"
"1 Av","40.7313271","-73.9824354"
"2nd Ave","40.7239419","-73.9913057"
"Fulton Street Subway Station","40.7093627","-74.0084614"
"Chambers Street Station","40.7143048","-74.00844119999999"
"Bowery","40.7201669","-73.9935279"
"8 Street Station","40.7306065","-73.99244159999999"
"23 St","40.7412012","-73.98903369999999"
"W 4 St - Wash Sq","40.7311137","-74.00122329999999"
"WTC Cortlandt","40.7117347","-74.01211979999999"
"Canal St Station","40.719528","-74.001778"
"14 St","40.7382176","-73.9999361"
"Canal St","40.717847","-74.00024839999999"
